brand,Price
msi,2415.88
msi,5435.88
msi,966.28
msi,2374.69
msi,760.92
msi,1147.48
msi,1171.64
msi,1268.28
msi,1811.88
msi,1811.88
msi,1389.08
msi,676.36
msi,712.60
msi,676.36
msi,2415.88
msi,1449.48
msi,3623.88
msi,990.44
msi,446.84
msi,1925.88
msi,1087.08
msi,893.80
msi,579.72
msi,1352.84
msi,700.52
msi,664.28
msi,1268.28
msi,905.88
msi,1147.48
msi,615.96
msi,1147.48
msi,1026.68
msi,736.76
msi,628.04
msi,640.12
msi,1111.24
msi,1062.92
msi,3382.28
msi,930.04
msi,881.72
msi,1050.84
msi,3019.88
msi,773.00
msi,1171.64
msi,990.44
msi,845.48
msi,3152.76
msi,787.50
msi,881.72
msi,2657.48
msi,2609.16
msi,2077.64
msi,845.48
msi,748.84
msi,531.40
msi,591.80
msi,507.24
msi,458.92
msi,573.68
msi,1123.32
msi,1002.52
msi,1055.68
msi,611.14
msi,736.76
msi,652.20
msi,495.16
msi,1449.48
msi,1111.24
primebook,181.08
primebook,156.92
realme,446.84
realme,519.32
samsung,785.08
samsung,543.48
samsung,579.72
samsung,845.48
samsung,917.96
samsung,664.28
samsung,1413.24
tecno,289.80
tecno,434.76
ultimus,241.48
ultimus,193.16
ultimus,144.84
ultimus,181.08
ultimus,199.20
ultimus,276.79
walker,193.16
wings,338.12
wings,483.08
wings,301.88
wings,326.04
zebronics,410.60
zebronics,398.52
zebronics,640.12
zebronics,362.28
zebronics,483.08
zebronics,398.52
zebronics,615.96
